id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-3025,2.902,0.263,0.169,3.642,1.588
JAXW202-3033,2.621,0.268,0.177,3.419,1.618
JAXW202-3041,2.878,0.216,0.164,3.687,1.233
JAXW202-3100,2.904,0.063,0.03,3.42,1.357
JAXW202-3108,2.757,0.086,0.034,3.44,1.257
JAXW202-3124,2.789,0.097,0.039,3.408,1.364
JAXW202-3162,2.985,0.068,0.042,3.532,0.744
JAXW202-3001,2.847,0.212,0.21,3.723,1.595
JAXW202-3009,2.66,0.255,0.171,3.453,1.613
JAXW202-3017,2.825,0.17,0.152,3.517,1.528
JAXW202-3026,2.508,0.228,0.193,3.329,1.547
JAXW202-3034,2.616,0.088,0.215,3.878,1.38
JAXW202-3042,2.702,0.355,0.13,3.019,1.316
JAXW202-3093,2.839,0.093,0.071,3.099,1.258
JAXW202-3101,2.748,0.102,0.054,2.986,1.354
JAXW202-3109,3.158,0.12,0.048,3.493,1.412
JAXW202-3125,3.03,0.104,0.052,3.141,1.239
JAXW202-3163,3.689,0.052,0.025,3.811,1.464
JAXW202-3002,2.617,0.247,0.194,3.447,1.698
JAXW202-3010,2.723,0.272,0.183,3.274,1.644
JAXW202-3018,2.715,0.286,0.164,3.205,1.701
JAXW202-3027,2.957,0.248,0.206,3.494,1.66
JAXW202-3035,2.626,0.293,0.199,3.162,1.725
JAXW202-3094,3.151,0.099,0.05,3.332,1.39
JAXW202-3102,3.469,0.099,0.052,3.443,1.413
JAXW202-3110,2.879,0.101,0.056,3.408,1.472
JAXW202-3118,2.835,0.127,0.046,3.032,1.305
JAXW202-3126,3.128,0.108,0.048,3.287,1.314
JAXW202-3003,2.67,0.259,0.208,3.46,1.764
JAXW202-3011,2.97,0.19,0.21,3.509,1.599
JAXW202-3028,2.904,0.229,0.175,3.577,1.497
JAXW202-3036,2.644,0.091,0.157,3.399,1.564
JAXW202-3095,2.862,0.099,0.067,3.63,1.26
JAXW202-3119,2.592,0.088,0.061,3.371,1.319
JAXW202-3127,2.995,0.089,0.019,2.945,1.319
JAXW202-3004,3.809,0.114,0.188,3.626,1.416
JAXW202-3012,3.197,0.296,0.157,3.203,1.651
JAXW202-3020,3.31,0.364,0.183,3.49,1.736
JAXW202-3029,3.114,0.334,0.18,3.421,1.672
JAXW202-3037,3.027,0.38,0.195,3.195,1.752
JAXW202-3096,2.98,0.097,0.058,3.137,1.427
JAXW202-3104,3.103,0.102,0.045,3.266,1.462
